ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
423,06/07/11,,,,000000,Black,,,,,Earn a Bike,,,,,,
425,06/11/11,21,23.5,559,000000,Black,Giant,ATX-840,B,A,Fix for Sale,,,,,,
434,06/20/11,20,22,559,000000,Black,Diamondback,Outlook,A,F,,,,,,,
443,06/27/11,,,,000000,Black,Specialized,,,,,,,,,,
447,07/07/11,,,,000000,Black,Trek,MT60,B,B,Fix for Sale,,,DO NOT SELL,,,
459,06/15/11,17,21,,000000,Black,,,B,B,Earn a Bike,06/15/11,,Earn a Bike,,,
461,06/13/11,17,21,,000000,black,Schwinn,Ranger,A,B,As-is,08/11/11,,,,,
467,06/13/11,13,19,406,000000,Black,Giant,,C,D,,,,,,,
477,06/20/11,21,21,,000000,Black,Gary Fisher,Advance,,,,,,,,,
488,07/07/11,11,20,,000000,Black,Trek,Mountain Track,B,C,,,,,,,
489,07/07/11,5,21.5,559,000000,Black,Sears,,B,A,Scrap,10/12/11,,,,,
502,07/07/11,12.5,21.5,559,000000,Black,Pacific,Quasar,A,A,Youth,07/28/11,,,,,
507,07/07/11,20,21,,000000,Black,,,A,C,As-is,08/25/11,,,,,
511,07/11/11,,,,000000,Black,Trek,Antelope,,,,,,,,,
520,,,,,000000,Black,,,,,,,,,,,
522,,,,,000000,Black,,,,,,,,,,,
524,,,,,000000,Black,,,,,,,,,,,
528,,,,,000000,Black,Gary Fisher,Aquila,A,B,Earn a Bike,07/14/11,,Leslie Park Pool Event,,,
532,,,,,000000,Black,Schwinn,,C,B,As-is,07/16/11,,,,,
546,07/18/11,8,14,305,000000,Black,Arctic Avenger,Robin ,,,,,,,,,
552,07/18/11,12,16,305,000000,Black,,,,,,,,,,,
565,07/23/11,,,,000000,Black,,Jr Antenator,,A,,,,,,,
567,07/23/11,16,18,507,000000,Black,schwinn,Caliente,C,C,,,,,,,
695,07/18/11,,,,000000,Black,Huffy,,,,,,,,,,
698,07/18/11,,,,000000,Black,Giant,,,,As-is,08/05/11,,,,,
718,07/28/11,18.5,26.5,507,000000,Black,Murray,Nightwing,B,C,,,,,,,
721,07/28/11,11,20,406,000000,Black,,,B,B,,,,,,,
722,08/01/11,,,,000000,Black,GT,Saddleback,,,Scrap,08/01/11,,,,,
723,08/01/11,,,,000000,Black,Trek,820,,,Scrap,08/01/11,,,,,
732,08/01/11,,,,000000,Black,GT,Outpost,,,Scrap,08/01/11,,,,,
733,08/01/11,,,,000000,Black,,,,,Scrap,08/01/11,,,,,
737,08/08/04,20,22,622,000000,Black,GT,Vantura,B,B,As-is,09/02/11,,,,,
